"","X","date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Northern.Mariana.Islands","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto.Rico","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virgin.Islands","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"143",143,"1",865,22,1642,731,3576,175,228,67,65,1902,869,1,14,51,758,400,352,168,224,523,54,439,392,254,479,608,187,10,198,240,42,348,158,821,1732,36,0,420,222,136,634,184,85,729,77,452,2259,315,9,0,563,404,32,322,18
"144",144,"1",891,34,1606,548,3149,195,305,56,55,2581,977,1,17,45,628,421,337,43,253,1288,36,673,336,143,377,257,216,15,121,288,48,441,95,912,1444,42,0,424,225,155,410,154,0,785,91,398,2089,380,6,0,658,344,25,293,23
"145",145,"1",1014,12,1180,406,2519,113,94,35,58,2016,696,0,5,14,602,366,167,52,47,336,36,393,208,222,299,168,57,13,101,207,19,276,102,694,1288,22,0,300,158,101,313,121,0,841,65,558,1422,252,2,1,637,215,16,281,10
"146",146,"1",657,4,1052,416,2709,169,147,76,32,1758,631,1,8,59,528,521,151,269,211,552,17,325,87,56,222,283,328,8,125,117,27,222,122,623,1058,21,0,428,186,187,386,79,146,585,30,771,2184,444,3,0,380,442,32,223,19
"147",147,"1",640,13,2293,274,3469,143,114,63,19,2783,797,0,4,71,619,358,153,53,36,534,9,351,195,164,189,353,218,5,171,357,19,323,88,630,848,23,0,434,228,280,390,61,71,614,38,678,4247,320,0,0,443,372,19,299,10
"148",148,"1",400,25,1861,415,4250,231,80,41,29,2610,915,2,4,91,550,256,353,232,291,928,17,561,266,228,415,489,221,16,195,179,72,277,132,561,1037,43,0,412,258,124,310,52,49,561,84,489,3493,387,0,0,442,321,35,338,25
"149",149,"1",894,19,2572,322,3754,228,11,55,56,3207,823,5,18,110,665,444,343,85,201,760,42,274,271,286,379,381,337,25,189,312,14,404,88,626,1284,29,0,700,451,155,393,108,56,992,59,492,3211,551,5,1,463,393,42,444,30
"150",150,"1",796,26,3183,703,3708,286,117,112,49,3822,1077,7,27,127,836,321,465,282,238,-879,35,311,228,320,356,0,292,11,176,361,36,389,107,794,1588,33,0,609,352,202,508,84,68,1083,49,999,4645,570,9,0,554,382,50,302,29
"151",151,"1",547,24,3284,511,4011,162,158,70,32,4049,1552,22,14,135,618,334,128,50,171,870,25,415,286,421,436,0,375,32,116,452,32,338,170,707,1626,25,0,531,331,90,390,268,0,1155,67,620,4272,588,3,2,650,421,32,401,6
"152",152,"1",472,14,2468,419,3953,190,40,94,36,3494,824,0,11,19,619,361,468,40,119,393,19,338,125,152,453,0,397,19,103,259,26,308,135,665,1214,37,0,546,478,263,346,62,0,907,72,496,3292,394,12,0,551,331,43,284,18
